Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,1104550,2425,ZOMAOPT,ETERNAL25DEC305PE,24-DEC-2025,OPTSTK,PE,305,0.05,
BFO,1104155,2425,ZOMAOPT,ETERNAL25DEC300PE,24-DEC-2025,OPTSTK,PE,300,0.05,
BFO,1106248,2425,ZOMAOPT,ETERNAL25DEC295PE,24-DEC-2025,OPTSTK,PE,295,0.05,
BFO,1117508,2425,ZOMAOPT,ETERNAL25DEC290PE,24-DEC-2025,OPTSTK,PE,290,0.05,
BFO,1118059,2425,ZOMAOPT,ETERNAL25DEC285PE,24-DEC-2025,OPTSTK,PE,285,0.05,
BFO,1155440,2425,ZOMAOPT,ETERNAL25DEC280PE,24-DEC-2025,OPTSTK,PE,280,0.05,
BFO,1156121,2425,ZOMAOPT,ETERNAL25DEC275PE,24-DEC-2025,OPTSTK,PE,275,0.05,
BFO,1156103,2425,ZOMAOPT,ETERNAL25DEC270PE,24-DEC-2025,OPTSTK,PE,270,0.05,
BFO,1156761,2425,ZOMAOPT,ETERNAL25DEC265PE,24-DEC-2025,OPTSTK,PE,265,0.05,
BFO,1172078,2425,ZOMAOPT,ETERNAL25DEC260PE,24-DEC-2025,OPTSTK,PE,260,0.05,
BFO,1132123,2425,ZOMAOPT,ETERNAL25DEC390CE,24-DEC-2025,OPTSTK,CE,390,0.05,
BFO,1130652,2425,ZOMAOPT,ETERNAL25DEC385CE,24-DEC-2025,OPTSTK,CE,385,0.05,
BFO,1130379,2425,ZOMAOPT,ETERNAL25DEC380CE,24-DEC-2025,OPTSTK,CE,380,0.05,
BFO,1129973,2425,ZOMAOPT,ETERNAL25DEC375CE,24-DEC-2025,OPTSTK,CE,375,0.05,
BFO,1129597,2425,ZOMAOPT,ETERNAL25DEC370CE,24-DEC-2025,OPTSTK,CE,370,0.05,
BFO,1114353,2425,ZOMAOPT,ETERNAL25DEC365CE,24-DEC-2025,OPTSTK,CE,365,0.05,
BFO,1114008,2425,ZOMAOPT,ETERNAL25DEC360CE,24-DEC-2025,OPTSTK,CE,360,0.05,
BFO,1101812,2425,ZOMAOPT,ETERNAL25DEC355CE,24-DEC-2025,OPTSTK,CE,355,0.05,
BFO,1116311,2425,ZOMAOPT,ETERNAL25DEC350CE,24-DEC-2025,OPTSTK,CE,350,0.05,
BFO,1105083,2425,ZOMAOPT,ETERNAL25DEC345CE,24-DEC-2025,OPTSTK,CE,345,0.05,
BFO,1104740,2425,ZOMAOPT,ETERNAL25DEC340CE,24-DEC-2025,OPTSTK,CE,340,0.05,
BFO,1110779,2425,ZOMAOPT,ETERNAL25DEC335CE,24-DEC-2025,OPTSTK,CE,335,0.05,
BFO,1107831,2425,ZOMAOPT,ETERNAL25DEC330CE,24-DEC-2025,OPTSTK,CE,330,0.05,
BFO,1113458,2425,ZOMAOPT,ETERNAL25DEC325CE,24-DEC-2025,OPTSTK,CE,325,0.05,
BFO,1113095,2425,ZOMAOPT,ETERNAL25DEC320CE,24-DEC-2025,OPTSTK,CE,320,0.05,
BFO,1115952,2425,ZOMAOPT,ETERNAL25DEC315CE,24-DEC-2025,OPTSTK,CE,315,0.05,
BFO,1115699,2425,ZOMAOPT,ETERNAL25DEC310CE,24-DEC-2025,OPTSTK,CE,310,0.05,
BFO,1104193,2425,ZOMAOPT,ETERNAL25DEC305CE,24-DEC-2025,OPTSTK,CE,305,0.05,
BFO,1103564,2425,ZOMAOPT,ETERNAL25DEC300CE,24-DEC-2025,OPTSTK,CE,300,0.05,
BFO,1105939,2425,ZOMAOPT,ETERNAL25DEC295CE,24-DEC-2025,OPTSTK,CE,295,0.05,
BFO,1117714,2425,ZOMAOPT,ETERNAL25DEC290CE,24-DEC-2025,OPTSTK,CE,290,0.05,
BFO,1117230,2425,ZOMAOPT,ETERNAL25DEC285CE,24-DEC-2025,OPTSTK,CE,285,0.05,
BFO,1155041,2425,ZOMAOPT,ETERNAL25DEC280CE,24-DEC-2025,OPTSTK,CE,280,0.05,
BFO,1156105,2425,ZOMAOPT,ETERNAL25DEC275CE,24-DEC-2025,OPTSTK,CE,275,0.05,
BFO,1156081,2425,ZOMAOPT,ETERNAL25DEC270CE,24-DEC-2025,OPTSTK,CE,270,0.05,
BFO,1156756,2425,ZOMAOPT,ETERNAL25DEC265CE,24-DEC-2025,OPTSTK,CE,265,0.05,
BFO,1172223,2425,ZOMAOPT,ETERNAL25DEC260CE,24-DEC-2025,OPTSTK,CE,260,0.05,
BFO,1153083,31100,YESBOPT,YESBANK26JAN30PE,29-JAN-2026,OPTSTK,PE,30,0.05,
BFO,1142878,31100,YESBOPT,YESBANK26JAN29PE,29-JAN-2026,OPTSTK,PE,29,0.05,
BFO,1148044,31100,YESBOPT,YESBANK26JAN28PE,29-JAN-2026,OPTSTK,PE,28,0.05,
BFO,1138857,31100,YESBOPT,YESBANK26JAN27PE,29-JAN-2026,OPTSTK,PE,27,0.05,
BFO,1145277,31100,YESBOPT,YESBANK26JAN26PE,29-JAN-2026,OPTSTK,PE,26,0.05,
BFO,1150925,31100,YESBOPT,YESBANK26JAN25PE,29-JAN-2026,OPTSTK,PE,25,0.05,
BFO,1142546,31100,YESBOPT,YESBANK26JAN24PE,29-JAN-2026,OPTSTK,PE,24,0.05,
BFO,1147711,31100,YESBOPT,YESBANK26JAN23PE,29-JAN-2026,OPTSTK,PE,23,0.05,
BFO,1138554,31100,YESBOPT,YESBANK26JAN22PE,29-JAN-2026,OPTSTK,PE,22,0.05,
BFO,1144826,31100,YESBOPT,YESBANK26JAN21PE,29-JAN-2026,OPTSTK,PE,21,0.05,
BFO,1150492,31100,YESBOPT,YESBANK26JAN20PE,29-JAN-2026,OPTSTK,PE,20,0.05,
BFO,1146076,31100,YESBOPT,YESBANK26JAN19PE,29-JAN-2026,OPTSTK,PE,19,0.05,
BFO,1151599,31100,YESBOPT,YESBANK26JAN18PE,29-JAN-2026,OPTSTK,PE,18,0.05,
BFO,1143115,31100,YESBOPT,YESBANK26JAN17PE,29-JAN-2026,OPTSTK,PE,17,0.05,
BFO,1148385,31100,YESBOPT,YESBANK26JAN16PE,29-JAN-2026,OPTSTK,PE,16,0.05,
BFO,1139182,31100,YESBOPT,YESBANK26JAN15PE,29-JAN-2026,OPTSTK,PE,15,0.05,
BFO,1153095,31100,YESBOPT,YESBANK26JAN30CE,29-JAN-2026,OPTSTK,CE,30,0.05,
BFO,1148472,31100,YESBOPT,YESBANK26JAN29CE,29-JAN-2026,OPTSTK,CE,29,0.05,
BFO,1139242,31100,YESBOPT,YESBANK26JAN28CE,29-JAN-2026,OPTSTK,CE,28,0.05,
BFO,1145719,31100,YESBOPT,YESBANK26JAN27CE,29-JAN-2026,OPTSTK,CE,27,0.05,
BFO,1151353,31100,YESBOPT,YESBANK26JAN26CE,29-JAN-2026,OPTSTK,CE,26,0.05,
BFO,1142884,31100,YESBOPT,YESBANK26JAN25CE,29-JAN-2026,OPTSTK,CE,25,0.05,
BFO,1148052,31100,YESBOPT,YESBANK26JAN24CE,29-JAN-2026,OPTSTK,CE,24,0.05,
BFO,1138860,31100,YESBOPT,YESBANK26JAN23CE,29-JAN-2026,OPTSTK,CE,23,0.05,
BFO,1145282,31100,YESBOPT,YESBANK26JAN22CE,29-JAN-2026,OPTSTK,CE,22,0.05,
BFO,1150943,31100,YESBOPT,YESBANK26JAN21CE,29-JAN-2026,OPTSTK,CE,21,0.05,
BFO,1142554,31100,YESBOPT,YESBANK26JAN20CE,29-JAN-2026,OPTSTK,CE,20,0.05,
BFO,1151887,31100,YESBOPT,YESBANK26JAN19CE,29-JAN-2026,OPTSTK,CE,19,0.05,
BFO,1143427,31100,YESBOPT,YESBANK26JAN18CE,29-JAN-2026,OPTSTK,CE,18,0.05,
BFO,1148849,31100,YESBOPT,YESBANK26JAN17CE,29-JAN-2026,OPTSTK,CE,17,0.05,
BFO,1139662,31100,YESBOPT,YESBANK26JAN16CE,29-JAN-2026,OPTSTK,CE,16,0.05,
BFO,1146084,31100,YESBOPT,YESBANK26JAN15CE,29-JAN-2026,OPTSTK,CE,15,0.05,
BFO,1148289,31100,YESBFUT,YESBANK26JANFUT,29-JAN-2026,FUTSTK,XX,0,0.05,
BFO,1106999,31100,YESBFUT,YESBANK25DECFUT,24-DEC-2025,FUTSTK,XX,0,0.05,
BFO,1167964,31100,YESBFUT,YESBANK26FEBFUT,26-FEB-2026,FUTSTK,XX,0,0.05,
